StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q158_1,Q159_1,Q184_1,Q12_1,Q4_1,Q8_1,Q214_1,Q215_1,Q216_1,Q217_1,Q218_1,Q219_1,Q220_1,Q233_1,Q234_1,Q235_1,Q236_1,Q237_1,Q238_1,Q239_1,Q242_1,Q243_1,Q244_1,Q245_1,Q246_1,Q247_1,Q248_1,Q251_1,Q252_1,Q253_1,Q254_1,Q255_1,Q256_1,Q257_1,Q260_1,Q261_1,Q262_1,Q263_1,Q264_1,Q265_1,Q266_1,Q269_1,Q270_1,Q271_1,Q272_1,Q273_1,Q274_1,Q275_1,Q278_1,Q279_1,Q280_1,Q281_1,Q282_1,Q283_1,Q284_1,Q287_1,Q288_1,Q289_1,Q290_1,Q291_1,Q292_1,Q293_1,Q296_1,Q297_1,Q298_1,Q299_1,Q300_1,Q301_1,Q302_1,Q305_1,Q306_1,Q307_1,Q308_1,Q309_1,Q310_1,Q311_1,Q314_1,Q315_1,Q316_1,Q317_1,Q318_1,Q319_1,Q320_1,Q202_1,Q203_1,Q204_1,Q205_1,Q206_1,Q207,Q208,Q209,Q209,Q210,Q210 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How would you rate this composition overall? - 1,How would you rate the lyric composition in this piece? - 1,How would you rate the music composition in this piece? - 1,"How would you rate the global structure (i.e., form, layout) in this piece? - 1",How typical is this song of pop/rock/show tunes music? - Not at all typical:Very typical,How novel is this song compared to other pop/rock/show tunes music? - I've heard this song before:I've never heard anything like this,How well did Pop* communicate its intention (pride and zest) through the music? - Music does not reflect intention:Music reflects intention well,How would you rate this composition overall? - 1,How would you rate the lyric composition in this piece? - 1,How would you rate the music composition in this piece? - 1,"How would you rate the global structure (i.e., form, layout) in this piece? - 1",How typical is this song of pop/rock/show tunes music? - Not at all typical:Very typical,How novel is this song compared to other pop/rock/show tunes music? - I've heard this song before:I've never heard anything like this,How well did Pop* communicate its intention (fear and love) through the music? - Music does not reflect intention:Music reflects intention well,How would you rate this composition overall? - 1,How would you rate the lyric composition in this piece? - 1,How would you rate the music composition in this piece? - 1,"How would you rate the global structure (i.e., form, layout) in this piece? - 1",How typical is this song of pop/rock/show tunes music? - Not at all typical:Very typical,How novel is this song compared to other pop/rock/show tunes music? - I've heard this song before:I've never heard anything like this,How well did Pop* communicate its intention (sadness and health) through the music? - Music does not reflect intention:Music reflects intention well,How would you rate this composition overall? - 1,How would you rate the lyric composition in this piece? - 1,How would you rate the music composition in this piece? - 1,"How would you rate the global structure (i.e., form, layout) in this piece? - 1",How typical is this song of pop/rock/show tunes music? - Not at all typical:Very typical,How novel is this song compared to other pop/rock/show tunes music? - I've heard this song before:I've never heard anything like this,How well did Pop* communicate its intention (love and optimism) through the music? - Music does not reflect intention:Music reflects intention well,How would you rate this composition overall? - 1,How would you rate the lyric composition in this piece? - 1,How would you rate the music composition in this piece? - 1,"How would you rate the global structure (i.e., form, layout) in this piece? - 1",How typical is this song of pop/rock/show tunes music? - Not at all typical:Very typical,How novel is this song compared to other pop/rock/show tunes music? - I've heard this song before:I've never heard anything like this,How well did Pop* communicate its intention (sadness and hate) through the music? - Music does not reflect intention:Music reflects intention well,How would you rate this composition overall? - 1,How would you rate the lyric composition in this piece? - 1,How would you rate the music composition in this piece? - 1,"How would you rate the global structure (i.e., form, layout) in this piece? - 1",How typical is this song of pop/rock/show tunes music? - Not at all typical:Very typical,How novel is this song compared to other pop/rock/show tunes music? - I've heard this song before:I've never heard anything like this,How well did Pop* communicate its intention (optimism and affection) through the music? - Music does not reflect intention:Music reflects intention well,How would you rate this composition overall? - 1,How would you rate the lyric composition in this piece? - 1,How would you rate the music composition in this piece? - 1,"How would you rate the global structure (i.e., form, layout) in this piece? - 1",How typical is this song of pop/rock/show tunes music? - Not at all typical:Very typical,How novel is this song compared to other pop/rock/show tunes music? - I've heard this song before:I've never heard anything like this,How well did Pop* communicate its intention (love and optimism) through the music? - Music does not reflect intention:Music reflects intention well,How would you rate this composition overall? - 1,How would you rate the lyric composition in this piece? - 1,How would you rate the music composition in this piece? - 1,"How would you rate the global structure (i.e., form, layout) in this piece? - 1",How typical is this song of pop/rock/show tunes music? - Not at all typical:Very typical,How novel is this song compared to other pop/rock/show tunes music? - I've heard this song before:I've never heard anything like this,How well did Pop* communicate its intention (sadness and suffering) through the music? - Music does not reflect intention:Music reflects intention well,How would you rate this composition overall? - 1,How would you rate the lyric composition in this piece? - 1,How would you rate the music composition in this piece? - 1,"How would you rate the global structure (i.e., form, layout) in this piece? - 1",How typical is this song of pop/rock/show tunes music? - Not at all typical:Very typical,How novel is this song compared to other pop/rock/show tunes music? - I've heard this song before:I've never heard anything like this,How well did Pop* communicate its intention (love and optimism) through the music? - Music does not reflect intention:Music reflects intention well,How would you rate this composition overall? - 1,How would you rate the lyric composition in this piece? - 1,How would you rate the music composition in this piece? - 1,"How would you rate the global structure (i.e., form, layout) in this piece? - 1",How typical is this song of pop/rock/show tunes music? - Not at all typical:Very typical,How novel is this song compared to other pop/rock/show tunes music? - I've heard this song before:I've never heard anything like this,How well did Pop* communicate its intention (suffering and death) through the music? - Music does not reflect intention:Music reflects intention well,How would you rate this composition overall? - 1,How would you rate the lyric composition in this piece? - 1,How would you rate the music composition in this piece? - 1,"How would you rate the global structure (i.e., form, layout) in this piece? - 1",How typical is this song of pop/rock/show tunes music? - Not at all typical:Very typical,How novel is this song compared to other pop/rock/show tunes music? - I've heard this song before:I've never heard anything like this,How well did Pop* communicate its intention (family and optimism) through the music? - Music does not reflect intention:Music reflects intention well,How would you rate this composition overall? - 1,How would you rate the lyric composition in this piece? - 1,How would you rate the music composition in this piece? - 1,"How would you rate the global structure (i.e., form, layout) in this piece? - 1",How typical is this song of pop/rock/show tunes music? - Not at all typical:Very typical,How novel is this song compared to other pop/rock/show tunes music? - I've heard this song before:I've never heard anything like this,How well did Pop* communicate its intention (sadness and hate) through the music? - Music does not reflect intention:Music reflects intention well,How convinced are you that Pop* internally represents knowledge of music? - Not convinced:Very convinced,"How convinced are you that Pop* has an opinion, belief, or attitude about what makes music ""good""? - Not convinced:Very convinced",How much autonomy would you say Pop* has to make decisions on its own? - No autonomy:Complete autonomy,"How good is Pop* at self-evaluation (i.e., judging its own success)? - Poor self-evaluation:Excellent self-evaluation",How would you rate the creativity of Pop* (not the creativity of its designer)? - Not creative:Very creative,(Optional) Briefly explain why you chose your answer to the previous question:,Do you consider yourself a musician?,Do you know personally either of the humans that designed this system?,From your perspective will computers ever be capable of being autonomously creative?,(Optional) Additional comments:,Q210 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID160_1""}","{""ImportId"":""QID161_1""}","{""ImportId"":""QID186_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID214_1""}","{""ImportId"":""QID215_1""}","{""ImportId"":""QID216_1""}","{""ImportId"":""QID217_1""}","{""ImportId"":""QID218_1""}","{""ImportId"":""QID219_1""}","{""ImportId"":""QID220_1""}","{""ImportId"":""QID233_1""}","{""ImportId"":""QID234_1""}","{""ImportId"":""QID235_1""}","{""ImportId"":""QID236_1""}","{""ImportId"":""QID237_1""}","{""ImportId"":""QID238_1""}","{""ImportId"":""QID239_1""}","{""ImportId"":""QID242_1""}","{""ImportId"":""QID243_1""}","{""ImportId"":""QID244_1""}","{""ImportId"":""QID245_1""}","{""ImportId"":""QID246_1""}","{""ImportId"":""QID247_1""}","{""ImportId"":""QID248_1""}","{""ImportId"":""QID251_1""}","{""ImportId"":""QID252_1""}","{""ImportId"":""QID253_1""}","{""ImportId"":""QID254_1""}","{""ImportId"":""QID255_1""}","{""ImportId"":""QID256_1""}","{""ImportId"":""QID257_1""}","{""ImportId"":""QID260_1""}","{""ImportId"":""QID261_1""}","{""ImportId"":""QID262_1""}","{""ImportId"":""QID263_1""}","{""ImportId"":""QID264_1""}","{""ImportId"":""QID265_1""}","{""ImportId"":""QID266_1""}","{""ImportId"":""QID269_1""}","{""ImportId"":""QID270_1""}","{""ImportId"":""QID271_1""}","{""ImportId"":""QID272_1""}","{""ImportId"":""QID273_1""}","{""ImportId"":""QID274_1""}","{""ImportId"":""QID275_1""}","{""ImportId"":""QID278_1""}","{""ImportId"":""QID279_1""}","{""ImportId"":""QID280_1""}","{""ImportId"":""QID281_1""}","{""ImportId"":""QID282_1""}","{""ImportId"":""QID283_1""}","{""ImportId"":""QID284_1""}","{""ImportId"":""QID287_1""}","{""ImportId"":""QID288_1""}","{""ImportId"":""QID289_1""}","{""ImportId"":""QID290_1""}","{""ImportId"":""QID291_1""}","{""ImportId"":""QID292_1""}","{""ImportId"":""QID293_1""}","{""ImportId"":""QID296_1""}","{""ImportId"":""QID297_1""}","{""ImportId"":""QID298_1""}","{""ImportId"":""QID299_1""}","{""ImportId"":""QID300_1""}","{""ImportId"":""QID301_1""}","{""ImportId"":""QID302_1""}","{""ImportId"":""QID305_1""}","{""ImportId"":""QID306_1""}","{""ImportId"":""QID307_1""}","{""ImportId"":""QID308_1""}","{""ImportId"":""QID309_1""}","{""ImportId"":""QID310_1""}","{""ImportId"":""QID311_1""}","{""ImportId"":""QID314_1""}","{""ImportId"":""QID315_1""}","{""ImportId"":""QID316_1""}","{""ImportId"":""QID317_1""}","{""ImportId"":""QID318_1""}","{""ImportId"":""QID319_1""}","{""ImportId"":""QID320_1""}","{""ImportId"":""QID202_1""}","{""ImportId"":""QID203_1""}","{""ImportId"":""QID204_1""}","{""ImportId"":""QID205_1""}","{""ImportId"":""QID206_1""}","{""ImportId"":""QID207_TEXT""}","{""ImportId"":""QID208""}","{""ImportId"":""QID209""}","{""ImportId"":""QID211""}","{""ImportId"":""QID210_TEXT""}","{""ImportId"":""QID210_TEXT_362137600b6d455dbc51f8c0Topics""}"
6/13/18 15:19,6/13/18 15:24,IP Address,166.70.225.234,100,307,TRUE,6/13/18 15:24,R_2dSITv5kqj0lQfz,,,,,40.29029846,-111.7236023,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,4,3,5,4,2,5,5,3,2,5,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,3,4,I’m surprised a computer could do this. ,No,Yes,Not sure,Paul Bodily is a hottie. ,Unknown
6/13/18 16:05,6/13/18 16:10,IP Address,73.98.160.206,100,315,TRUE,6/13/18 16:10,R_UVHTteiIUKCQOLT,,,,,40.707901,-111.8554993,social,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,2,1,4,3,,,,,,,,4,3,3,4,1,4,3,4,4,5,4,5,,No,Yes,Absolutely,,
6/13/18 16:10,6/13/18 16:13,IP Address,128.187.83.173,100,216,TRUE,6/13/18 16:13,R_1o54X4ztYoITVeJ,,,,,40.35629272,-111.7324982,anonymous,EN,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,3,,No,Yes,Not sure,,
6/13/18 16:06,6/13/18 16:14,IP Address,128.187.83.5,100,477,TRUE,6/13/18 16:14,R_33xq9vMkG4Ozeqe,,,,,40.35629272,-111.7324982,anonymous,EN,,,,,,,,,,,,,,,3,4,3,3,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,4,5,2,4,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,4,"First, the question of whether or not software is creative is complicated.
Second, this software walks a line as it attempts to generate novel content that is recognizable as part of a genre. In a real sense, these goals are opposed to each other.

In my opinion, it generated content that was mostly recognizable as in the pop genre but that was novel.",Yes,Yes,Not sure,Both compositions had unnaturally long notes at times.,Unknown
6/13/18 16:06,6/13/18 16:16,IP Address,174.52.165.36,100,592,TRUE,6/13/18 16:16,R_2ZWWBVSHMvbk2Kg,,,,,40.31430054,-111.7116013,anonymous,EN,4,4,4,3,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,4,,No,Yes,Absolutely,,
6/13/18 16:05,6/13/18 16:17,IP Address,128.187.83.9,100,727,TRUE,6/13/18 16:17,R_5iq4nfAGG94jkgF,,,,,40.35629272,-111.7324982,anonymous,EN,,,,,,,,3,2,4,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,4,5,,Yes,Yes,Not sure,,
6/13/18 16:05,6/13/18 16:18,IP Address,128.187.83.36,100,743,TRUE,6/13/18 16:18,R_1LM6Xko6iCGI2QQ,,,,,40.35629272,-111.7324982,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,4,4,4,4,,,,,,,,4,5,4,4,4,"Pop* seems to write lyrics that borrow heavily from the ways in which other songwriters express the themes he/she/it is interested in, but they are arranged in interesting ways that seem to reflect some kind of an interesting creative process behind the scenes.",Yes,Yes,Not sure,"If it helps for clarity, my ratings for the questions such as, ""Rate the lyrical composition"" and similar are on a ""for a computational creativity system"" scale, rather than on a ""compared to Lin-Manuel Miranda"" scale.

I think that computers can approximate creativity very well, and within certain bounds may be able to ""create"" on a level similar to that of a human being, and while there's no telling what the future can bring, I think computers lack both the emotion and the inner spark that humans have which leads to true creativity.",Unknown
6/13/18 16:16,6/13/18 16:23,IP Address,128.187.112.31,100,446,TRUE,6/13/18 16:23,R_2tLqAbcw6kkwNl4,,,,,40.35629272,-111.7324982,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,3,4,3,4,,,,,,,,2,2,2,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,2,It doesn't seem to know how to invoke emotion with lyrics. They seem nonsensical. ,No,No,Absolutely,,
